line,sex,rep,concentration,exposure,total_flies,survival_proportion
217,M,1,0.8,0,20,1
217,M,2,0.8,0,18,1
217,M,3,0.8,0,20,1
217,M,4,0.8,0,19,1
228,M,1,0.8,0,18,1
228,M,2,0.8,0,18,1
228,M,3,0.8,0,20,1
228,M,4,0.8,0,17,1
367,M,1,0.8,0,20,1
367,M,2,0.8,0,16,1
367,M,3,0.8,0,20,1
367,M,4,0.8,0,18,1
371,M,1,0.8,0,20,1
371,M,2,0.8,0,19,1
371,M,3,0.8,0,19,1
371,M,4,0.8,0,18,1
491,M,1,0.8,0,20,1
491,M,2,0.8,0,20,1
491,M,3,0.8,0,20,1
491,M,4,0.8,0,20,1
508,M,1,0.8,0,19,1
508,M,2,0.8,0,20,1
508,M,3,0.8,0,19,1
508,M,4,0.8,0,20,1
799,M,1,0.8,0,20,1
799,M,2,0.8,0,20,1
799,M,3,0.8,0,18,1
799,M,4,0.8,0,18,1
808,M,3,0.8,0,17,1
808,M,4,0.8,0,19,1
808,M,1,0.8,0,17,1
808,M,2,0.8,0,19,1
900,M,1,0.8,0,16,1
900,M,2,0.8,0,17,1
900,M,3,0.8,0,19,1
900,M,4,0.8,0,18,1
41,F,1,1.5,0,18,1
41,F,2,1.5,0,17,1
41,F,3,1.5,0,16,1
41,F,4,1.5,0,20,1
59,F,1,1.5,0,18,1
59,F,2,1.5,0,18,1
59,F,3,1.5,0,20,1
59,F,4,1.5,0,20,1
83,F,1,1.5,0,19,1
83,F,2,1.5,0,19,1
83,F,3,1.5,0,19,1
83,F,4,1.5,0,20,1
129,F,1,1.5,0,19,1
129,F,2,1.5,0,18,1
129,F,3,1.5,0,19,1
129,F,4,1.5,0,20,1
195,F,4,1.5,0,17,1
195,F,1,1.5,0,19,1
195,F,2,1.5,0,18,1
195,F,3,1.5,0,17,1
217,F,1,1.5,0,20,1
217,F,2,1.5,0,19,1
217,F,3,1.5,0,20,1
217,F,4,1.5,0,19,1
228,F,1,1.5,0,18,1
228,F,2,1.5,0,18,1
228,F,3,1.5,0,20,1
228,F,4,1.5,0,18,1
367,F,1,1.5,0,17,1
367,F,2,1.5,0,20,1
367,F,3,1.5,0,20,1
367,F,4,1.5,0,17,1
371,F,1,1.5,0,17,1
371,F,2,1.5,0,19,1
371,F,3,1.5,0,20,1
371,F,4,1.5,0,20,1
491,F,1,1.5,0,19,1
491,F,2,1.5,0,18,1
491,F,3,1.5,0,20,1
491,F,4,1.5,0,20,1
508,F,1,1.5,0,20,1
508,F,2,1.5,0,18,1
508,F,3,1.5,0,20,1
508,F,4,1.5,0,16,1
508,F,5,1.5,0,20,1
799,F,1,1.5,0,20,1
799,F,2,1.5,0,16,1
799,F,3,1.5,0,20,1
799,F,4,1.5,0,18,1
808,F,2,1.5,0,18,1
808,F,4,1.5,0,20,1
808,F,1,1.5,0,18,1
808,F,3,1.5,0,20,1
900,F,1,1.5,0,17,1
900,F,2,1.5,0,19,1
900,F,3,1.5,0,18,1
900,F,4,1.5,0,20,1
41,M,1,1.5,0,20,1
41,M,2,1.5,0,20,1
41,M,3,1.5,0,19,1
41,M,4,1.5,0,20,1
59,M,1,1.5,0,19,1
59,M,2,1.5,0,19,1
59,M,3,1.5,0,15,1
59,M,4,1.5,0,19,1
83,M,1,1.5,0,20,1
83,M,2,1.5,0,20,1
83,M,3,1.5,0,17,1
83,M,4,1.5,0,18,1
129,M,1,1.5,0,20,1
129,M,2,1.5,0,14,1
129,M,3,1.5,0,19,1
129,M,4,1.5,0,17,1
195,M,1,1.5,0,19,1
195,M,2,1.5,0,17,1
195,M,3,1.5,0,19,1
195,M,4,1.5,0,19,1
217,M,1,1.5,0,20,1
217,M,2,1.5,0,16,1
217,M,3,1.5,0,18,1
217,M,4,1.5,0,18,1
228,M,1,1.5,0,17,1
228,M,2,1.5,0,20,1
228,M,3,1.5,0,20,1
228,M,4,1.5,0,15,1
367,M,1,1.5,0,19,1
367,M,2,1.5,0,18,1
367,M,3,1.5,0,18,1
367,M,4,1.5,0,19,1
371,M,1,1.5,0,17,1
371,M,2,1.5,0,19,1
371,M,3,1.5,0,20,1
371,M,4,1.5,0,12,1
491,M,1,1.5,0,18,1
